Timestamp,What is the highest degree you have completed?,Doc 1(Psychiatric) : Which summary has more hallucination?,psych_level_opt1,psych_level_opt2,Doc 2(Cardiopulmonary) : Which summary has more hallucination?,cardio_level_opt1,cardio_level_opt2,Doc 3(Oncology): Which summary has more hallucination?,onco_level_opt1,onco_level_opt2
1/29/2026 19:09:40,"Master’s degree (e.g., MSc, MPH, MEng)",A,5,1,B,1,5,A,4,1
1/30/2026 12:22:22,"Master’s degree (e.g., MSc, MPH, MEng)",A,4,1,B,1,3,A,4,2
1/30/2026 12:26:41,"Master’s degree (e.g., MSc, MPH, MEng)",A,3,2,B,2,5,A,4,1
1/30/2026 14:30:15,"Doctoral degree (e.g., PhD, MD, DrPH)",A,4,2,B,3,4,A,4,1
1/30/2026 14:32:34,"Doctoral degree (e.g., PhD, MD, DrPH)",A,5,2,B,2,4,A,4,1
1/30/2026 14:35:39,"Doctoral degree (e.g., PhD, MD, DrPH)",A,4,2,B,2,5,A,5,2
1/30/2026 15:30:39,"Master’s degree (e.g., MSc, MPH, MEng)",A,4,3,B,3,5,A,4,1
1/30/2026 16:40:19,"Bachelor’s degree (e.g., BA, BSc)",A,4,3,B,1,3,A,4,1
1/30/2026 16:42:10,"Master’s degree (e.g., MSc, MPH, MEng)",A,4,2,B,3,5,A,5,1
1/30/2026 16:45:30,"Master’s degree (e.g., MSc, MPH, MEng)",B,2,2,B,3,3,B,3,2
1/30/2026 16:46:18,MBBS or equivalent medical degree,A,3,2,A,2,3,A,4,2
1/30/2026 16:48:09,MBBS or equivalent medical degree,A,5,2,A,3,3,A,3,2
1/30/2026 16:54:23,MBBS or equivalent medical degree,A,3,2,A,3,2,A,4,2
1/30/2026 18:18:28,"Bachelor’s degree (e.g., BA, BSc)",A,3,1,B,1,5,A,5,2
1/31/2026 4:25:00,"Master’s degree (e.g., MSc, MPH, MEng)",A,4,2,A,2,5,A,5,2
1/31/2026 12:45:39,"Doctoral degree (e.g., PhD, MD, DrPH)",A,3,4,A,4,2,B,2,4
1/31/2026 12:50:00,"Bachelor’s degree (e.g., BA, BSc)",A,3,2,B,2,4,A,5,2
1/31/2026 15:28:34,MBBS or equivalent medical degree,A,5,1,B,2,5,A,5,2
1/31/2026 18:42:23,"Master’s degree (e.g., MSc, MPH, MEng)",A,5,1,B,1,4,A,4,3
1/31/2026 19:55:34,"Master’s degree (e.g., MSc, MPH, MEng)",B,2,2,B,3,3,B,4,4
1/31/2026 20:57:13,"Master’s degree (e.g., MSc, MPH, MEng)",A,3,1,B,1,4,A,5,2
1/31/2026 23:24:56,"Bachelor’s degree (e.g., BA, BSc)",A,4,3,B,2,4,A,4,3
2/1/2026 11:18:20,"Bachelor’s degree (e.g., BA, BSc)",A,4,1,B,1,4,A,4,2
